,distance_scaled
89,0.043864507180155776
26,0.0633161497700174
233,0.06643171997388897
37,0.07233538001058873
58,0.09975787568963666
84,0.13521160584425596
21,0.13824167101827545
172,0.1424209381247848
68,0.1516680671691967
215,0.1569264392159502
195,0.1575064284254187
20,0.16413536626673128
166,0.16429747181805118
83,0.1660481812770701
157,0.18119790038163036
101,0.20393342218142907
49,0.21854576865199898
36,0.24828193285016797
133,0.2797818237645395
51,0.2840155374197969
247,0.29544835749312787
78,0.30706626101033957
42,0.320249219734615
48,0.3220625769205321
154,0.3225548906872282
231,0.3227607293388331
118,0.3330796841043631
149,0.3408746746394192
112,0.34390951375141526
100,0.34717731070495994
178,0.347278048120116
116,0.35004816842294867
57,0.3560700705251731
88,0.3656470476507964
177,0.36751819213214143
148,0.3677862290390641
115,0.368689546405715
22,0.37538346813435564
200,0.3800006806954603
180,0.3800006806954603
120,0.38266228221210796
134,0.3943415773745442
228,0.4007506328358186
121,0.40959808020214394
85,0.41060591766053434
4,0.4123772146537467
15,0.4149613339473011
187,0.41951217940989066
207,0.4210207077429706
27,0.4350984437516978
54,0.437930495509207
67,0.4415985674334641
92,0.4596536116755814
25,0.4711321430779399
5,0.4720125881330288
135,0.4771976010918582
52,0.47882916807443154
165,0.47896436857444213
70,0.4809096070596033
7,0.48671194635569104
199,0.4888659935751461
28,0.4993124129915842
29,0.5048970757875177
239,0.5084524376415213
111,0.5168580046193401
31,0.5283548098311078
150,0.5300745261725186
192,0.5319805495048868
69,0.5382129097247982
75,0.5425760511811821
229,0.5450384266584443
45,0.545526358720598
173,0.5482012628963226
212,0.5493032165854574
162,0.5583937230321275
174,0.5589888566001134
12,0.5641020881322474
132,0.5684395774750571
87,0.5691834564182047
179,0.5790920392149317
35,0.5865778054393019
94,0.5926704429442656
143,0.5954331269722399
91,0.5959994872054644
176,0.5974347413236897
123,0.6078458047815288
105,0.6093848660997941
196,0.6128660809917396
216,0.6128660809917396
0,0.6139693599579437
153,0.6140714078118095
38,0.6263047360531654
99,0.6392507809800028
109,0.6588839909538569
108,0.6619785632062655
181,0.663196249501609
201,0.663196249501609
10,0.6783597136760564
140,0.6800678819979854
232,0.6852074664730082
24,0.6894893714104123
119,0.6901800631108592
63,0.7096352507922633
6,0.7166974709009737
50,0.7204325397944923
164,0.7378680765246426
90,0.7398491515840504
188,0.743086014061942
208,0.7436897170754507
117,0.7440433232035292
160,0.746255000100878
159,0.7473788640228066
107,0.7484990955746921
76,0.7499654419383381
73,0.7677557319823705
152,0.7703343280551275
156,0.7740621448598806
46,0.7832864762893011
124,0.7852578851130632
16,0.7902127320751073
23,0.8211111196131765
59,0.8260107848380835
158,0.8322819270283439
102,0.8409944069763964
44,0.8412994281506406
13,0.8448207222304426
79,0.8803877057296265
213,0.9171082128279655
193,0.9171082128279655
248,0.9201752909794934
47,0.9220786009512859
161,0.9500777625465706
104,0.9580539248772872
141,0.9669343687522243
86,0.9731160670253529
170,0.9771357922193662
197,0.9832085743848474
127,0.9836700193947917
217,0.9838998491789073
114,0.9871742287941333
17,0.9936038012353786
144,1.0236026216070477
39,1.0364557244947827
1,1.0375023967193973
234,1.0492394986076978
32,1.0527225088056624
236,1.0747395554223511
9,1.0945413938144648
80,1.1283906643088497
126,1.1348213965235217
64,1.140777384892816
251,1.1501879111927455
203,1.1600002510546887
138,1.171032009694784
72,1.1725179934971006
219,1.1796441105371671
18,1.1852862630767864
103,1.187488350044458
2,1.2021034154602874
81,1.2118795167632148
227,1.224828561389292
95,1.2452409484643672
8,1.250664310289482
65,1.2557944432795785
33,1.2578284016243817
209,1.2595078281335448
189,1.2595078281335448
60,1.2656669731028578
110,1.2774446114941669
19,1.291044133690528
53,1.2935739436278264
56,1.2939087376194611
146,1.2962205817128045
226,1.3101384945125787
71,1.3129618724908143
175,1.3310750327026932
122,1.3620968958694197
255,1.3875353140256326
244,1.39070597354428
224,1.39070597354428
210,1.3929356999338867
249,1.4037554682370161
130,1.4125635520561126
96,1.4201152984079999
145,1.4331074932297285
62,1.4496825260696065
40,1.4562742289414106
93,1.4583201646942103
191,1.46303691427572
211,1.46303691427572
129,1.4787783905068164
128,1.4787783905068164
235,1.4853362868022812
41,1.4911216860719037
169,1.501006620433563
113,1.5444492156502445
34,1.5648050211129845
106,1.575596681874026
66,1.5800800121095873
30,1.5871404330116499
183,1.5906701555111813
230,1.6152674900298392
223,1.6401945223745324
243,1.6401945223745324
97,1.6505117353221006
137,1.6783537615140847
43,1.6869154316067074
214,1.6951494524826902
194,1.6951494524826902
82,1.7167467501080649
11,1.7618718351687528
136,1.8095253477876851
55,1.8347438323498217
237,1.8435488789497916
168,1.9044198238097776
77,1.9391006694087776
190,2.0130911884782914
202,2.0300441774753084
182,2.0300441774753084
14,2.0515645874738078
245,2.0524513916748743
225,2.054165107567375
198,2.0941219200384746
218,2.118805987582108
142,2.1574387223605744
3,2.1898505041423104
74,2.252470906081747
184,2.3162991025559263
204,2.3162991025559263
98,2.5771339897643957
125,2.707322327446531
241,2.7516855918346046
221,2.7516855918346046
167,2.9147108364740637
163,3.0846761494190833
131,3.249200378577172
171,3.2878319121642847
242,3.311550554678156
222,3.4685624157676056
185,3.4832817745296647
205,3.4832817745296647
61,3.539549990294727
240,3.5937588296271596
220,3.5937588296271596
238,3.6442854934374576
147,3.7296038967602816
139,3.762297818118333
151,3.7774263873820217
155,3.9488630067106287
246,4.00434811230175
252,4.094830707649155
250,5.201715630209625
253,5.441007560967361
206,6.444363257418452
186,6.444363257418452
254,8.44999187424684
