iteration,ei
1,0.36
2,0.45
3,0.54
4,0.7
5,0.8
6,0.88
7,1.01
8,1.13
9,1.21
10,1.31
11,1.4
12,1.42
13,1.51
14,1.62
15,1.74
16,1.86
17,1.97
18,2.08
19,2.19
20,2.32
21,2.44
22,2.61
23,2.72
24,2.79
25,2.98
26,3.09
27,3.17
28,3.32
29,3.4
30,3.52
31,3.58
32,3.69
33,3.74
34,3.87
35,3.95
36,4.05
37,4.17
38,4.22
39,4.31
40,4.4
41,4.53
42,4.65
43,4.73
44,4.83
45,4.93
46,4.98
47,5.1
48,5.2
49,5.29
50,5.35
51,5.44
52,5.48
53,5.55
54,5.6
55,5.66
56,5.74
57,5.8
58,5.89
59,5.99
60,6.05
61,6.14
62,6.2
63,6.27
64,6.35
65,6.43
66,6.49
67,6.56
68,6.62
69,6.69
70,6.8
71,6.84
72,6.93
73,6.97
74,6.99
75,7.1
76,7.12
77,7.12
78,7.16
79,7.17
80,7.22
81,7.29
82,7.3
83,7.34
84,7.37
85,7.38
86,7.43
87,7.51
88,7.57
89,7.63
90,7.66
91,7.73
92,7.78
93,7.84
94,7.92
95,8.02
96,8.08
97,8.1
98,8.14
99,8.17
100,8.19
101,8.24
102,8.27
103,8.3
104,8.32
105,8.36
106,8.39
107,8.44
108,8.47
109,8.52
110,8.53
111,8.57
112,8.62
113,8.68
114,8.72
115,8.78
116,8.85
117,8.88
118,8.95
119,9.01
120,9.05
121,9.12
122,9.17
123,9.2
124,9.22
125,9.28
126,9.32
127,9.39
128,9.44
129,9.48
130,9.51
131,9.55
132,9.65
133,9.68
134,9.75
135,9.8
136,9.84
137,9.91
138,10.0
139,10.06
140,10.09
141,10.13
142,10.15
143,10.19
144,10.23
145,10.31
146,10.32
147,10.39
148,10.45
149,10.48
150,10.5
151,10.54
152,10.58
153,10.62
154,10.64
155,10.69
156,10.75
157,10.8
158,10.84
159,10.9
160,10.92
161,10.95
162,10.98
163,11.03
164,11.09
165,11.1
166,11.15
167,11.18
168,11.23
169,11.25
170,11.32
171,11.36
172,11.42
173,11.46
174,11.51
175,11.57
176,11.63
177,11.69
178,11.76
179,11.82
180,11.87
181,11.89
182,11.92
183,11.99
184,12.01
185,12.1
186,12.14
187,12.18
188,12.2
189,12.23
190,12.28
191,12.31
192,12.34
193,12.41
194,12.44
195,12.48
196,12.53
197,12.58
198,12.63
199,12.64
200,12.71
