iteration,lcb,rand
1,0.37,0.29
2,0.42,0.31
3,0.49,0.33
4,0.55,0.36
5,0.61,0.42
6,0.71,0.44
7,0.79,0.47
8,0.87,0.51
9,0.95,0.54
10,1.08,0.56
11,1.18,0.59
12,1.3,0.66
13,1.42,0.71
14,1.52,0.78
15,1.64,0.8
16,1.73,0.88
17,1.83,0.92
18,1.92,0.95
19,2.02,0.99
20,2.13,1.06
21,2.25,1.15
22,2.35,1.18
23,2.45,1.25
24,2.53,1.31
25,2.61,1.36
26,2.69,1.4
27,2.77,1.45
28,2.9,1.49
29,2.95,1.53
30,3.02,1.58
31,3.09,1.66
32,3.14,1.73
33,3.26,1.77
34,3.38,1.87
35,3.44,1.91
36,3.55,1.99
37,3.6,2.04
38,3.66,2.07
39,3.72,2.12
40,3.81,2.16
41,3.91,2.22
42,3.96,2.26
43,4.07,2.31
44,4.13,2.36
45,4.25,2.41
46,4.32,2.44
47,4.37,2.49
48,4.44,2.55
49,4.52,2.61
50,4.62,2.67
51,4.7,2.72
52,4.85,2.77
53,4.95,2.82
54,4.99,2.84
55,5.03,2.89
56,5.08,2.92
57,5.15,2.96
58,5.2,3.03
59,5.24,3.05
60,5.26,3.09
61,5.28,3.13
62,5.4,3.17
63,5.43,3.19
64,5.52,3.24
65,5.62,3.32
66,5.66,3.4
67,5.76,3.41
68,5.89,3.47
69,5.96,3.54
70,6.03,3.57
71,6.1,3.62
72,6.14,3.67
73,6.24,3.77
74,6.32,3.82
75,6.41,3.92
76,6.51,3.95
77,6.6,4.01
78,6.69,4.08
79,6.76,4.14
80,6.88,4.17
81,6.93,4.23
82,6.98,4.28
83,7.05,4.35
84,7.14,4.4
85,7.22,4.43
86,7.24,4.46
87,7.3,4.52
88,7.35,4.6
89,7.36,4.64
90,7.42,4.69
91,7.48,4.74
92,7.52,4.76
93,7.55,4.86
94,7.57,4.89
95,7.62,4.96
96,7.67,4.99
97,7.77,5.06
98,7.86,5.11
99,7.89,5.17
100,7.92,5.25
101,7.97,5.29
102,7.98,5.37
103,8.02,5.41
104,8.05,5.46
105,8.1,5.53
106,8.14,5.59
107,8.16,5.63
108,8.22,5.68
109,8.26,5.71
110,8.34,5.79
111,8.37,5.85
112,8.45,5.9
113,8.52,5.94
114,8.6,6.01
115,8.64,6.06
116,8.67,6.12
117,8.73,6.18
118,8.76,6.23
119,8.78,6.24
120,8.86,6.26
121,8.93,6.32
122,8.94,6.38
123,9.0,6.47
124,9.03,6.53
125,9.11,6.56
126,9.13,6.61
127,9.17,6.66
128,9.2,6.67
129,9.24,6.75
130,9.26,6.82
131,9.31,6.86
132,9.33,6.89
133,9.37,6.94
134,9.41,6.96
135,9.43,7.01
136,9.47,7.09
137,9.5,7.16
138,9.53,7.23
139,9.57,7.28
140,9.62,7.31
141,9.62,7.38
142,9.67,7.44
143,9.7,7.49
144,9.72,7.5
145,9.81,7.57
146,9.87,7.61
147,9.91,7.69
148,9.95,7.76
149,9.97,7.81
150,9.99,7.84
151,10.0,7.87
152,10.05,7.91
153,10.08,7.99
154,10.14,8.02
155,10.2,8.05
156,10.22,8.12
157,10.27,8.18
158,10.35,8.23
159,10.37,8.29
160,10.41,8.33
161,10.49,8.43
162,10.52,8.5
163,10.55,8.54
164,10.58,8.6
165,10.62,8.64
166,10.64,8.68
167,10.68,8.76
168,10.71,8.78
169,10.73,8.85
170,10.76,8.86
171,10.8,8.94
172,10.84,8.97
173,10.87,9.04
174,10.91,9.1
175,10.97,9.14
176,10.99,9.19
177,11.03,9.24
178,11.11,9.32
179,11.14,9.35
180,11.18,9.41
181,11.21,9.47
182,11.27,9.5
183,11.29,9.53
184,11.34,9.57
185,11.37,9.6
186,11.44,9.61
187,11.5,9.63
188,11.52,9.7
189,11.57,9.71
190,11.59,9.75
191,11.63,9.8
192,11.7,9.82
193,11.73,9.87
194,11.8,9.95
195,11.87,10.02
196,11.95,10.07
197,12.0,10.12
198,12.06,10.17
199,12.11,10.22
200,12.16,10.26
